"Gene","Tissue","Group"
"Nlrp3","Microglia","Tissue enriched"
"Slc11a1","Microglia","Tissue enriched"
"Clic4","Myelinating Oligodendrocytes","Group enriched"
"Clic4","Endothelial Cells","Group enriched"
"Clic4","Newly Formed Oligodendrocyte","Group enriched"
"Clic4","Microglia","Group enriched"
"Clic4","Astrocytes","Group enriched"
"Ccl6","Microglia","Tissue enriched"
"Naglu","Microglia","Tissue enriched"
"Lass2","Myelinating Oligodendrocytes","Group enriched"
"Lass2","Newly Formed Oligodendrocyte","Group enriched"
"Il4ra","Microglia","Tissue enriched"
"Arhgap4","Microglia","Tissue enriched"
"Slc7a8","Microglia","Group enriched"
"Slc7a8","Endothelial Cells","Group enriched"
"Hfe","Microglia","Tissue enriched"
"Slfn2","Microglia","Tissue enriched"
"Fcgr1","Microglia","Tissue enriched"
"Hk3","Microglia","Tissue enriched"
"Lrch4","Microglia","Tissue enriched"
"Cd33","Microglia","Tissue enriched"
"Hk2","Microglia","Tissue enriched"
"Tsc22d4","Myelinating Oligodendrocytes","Group enriched"
"Tsc22d4","Newly Formed Oligodendrocyte","Group enriched"
"Tsc22d4","Microglia","Group enriched"
"Tsc22d4","Oligodendrocyte Precursor Cell","Group enriched"
"Tsc22d4","Astrocytes","Group enriched"
"Vps18","Microglia","Tissue enriched"
"Pik3ap1","Microglia","Tissue enriched"
"Sash3","Microglia","Tissue enriched"
"Cables1","Microglia","Tissue enriched"
"Tnfaip2","Microglia","Tissue enriched"
"Tcfe3","Microglia","Tissue enriched"
"Eng","Endothelial Cells","Group enriched"
"Eng","Microglia","Group enriched"
"Ccr1","Microglia","Tissue enriched"
"Tnfaip8l2","Microglia","Tissue enriched"
"Vamp2","Neuron","Group enriched"
"Vamp2","Myelinating Oligodendrocytes","Group enriched"
"Vamp2","Oligodendrocyte Precursor Cell","Group enriched"
"Vamp2","Newly Formed Oligodendrocyte","Group enriched"
"Vamp2","Astrocytes","Group enriched"
"Vamp2","Microglia","Group enriched"
"Tgfbr2","Microglia","Group enriched"
"Tgfbr2","Endothelial Cells","Group enriched"
"Alas1","Microglia","Group enriched"
"Alas1","Endothelial Cells","Group enriched"
"Alas1","Astrocytes","Group enriched"
"Fam108a","Endothelial Cells","Group enriched"
"Fam108a","Myelinating Oligodendrocytes","Group enriched"
"Fam108a","Newly Formed Oligodendrocyte","Group enriched"
"Fam108a","Microglia","Group enriched"
"Fam108a","Oligodendrocyte Precursor Cell","Group enriched"
"Fam108a","Neuron","Group enriched"
"Hps4","Microglia","Tissue enriched"
"Egr3","Microglia","Tissue enriched"
"Neu1","Microglia","Tissue enriched"
"Plin2","Endothelial Cells","Group enriched"
"Plin2","Microglia","Group enriched"
"Plin2","Oligodendrocyte Precursor Cell","Group enriched"
"St6galnac4","Microglia","Tissue enriched"
"Gal3st4","Microglia","Tissue enriched"
"Cmklr1","Microglia","Tissue enriched"
"Cd300a","Microglia","Tissue enriched"
"Rpl29","Endothelial Cells","Group enriched"
"Rpl29","Microglia","Group enriched"
"Rpl29","Oligodendrocyte Precursor Cell","Group enriched"
"Rpl29","Myelinating Oligodendrocytes","Group enriched"
"Rpl29","Newly Formed Oligodendrocyte","Group enriched"
"Rpl29","Neuron","Group enriched"
"Plcg2","Microglia","Tissue enriched"
"Abcc3","Microglia","Tissue enriched"
"Cmtm3","Microglia","Group enriched"
"Cmtm3","Astrocytes","Group enriched"
"Cmtm3","Endothelial Cells","Group enriched"
"Cmtm3","Oligodendrocyte Precursor Cell","Group enriched"
"Abi3","Microglia","Tissue enriched"
"Nfe2l2","Microglia","Group enriched"
"Nfe2l2","Endothelial Cells","Group enriched"
"Nfe2l2","Astrocytes","Group enriched"
"Khk","Microglia","Tissue enriched"
"Apbb1ip","Microglia","Tissue enriched"
"Irak2","Microglia","Group enriched"
"Irak2","Astrocytes","Group enriched"
"Irak2","Endothelial Cells","Group enriched"
"Zfp385a","Microglia","Group enriched"
"Zfp385a","Neuron","Group enriched"
"Zfp385a","Astrocytes","Group enriched"
"Zfp385a","Oligodendrocyte Precursor Cell","Group enriched"
"Myh9","Endothelial Cells","Group enriched"
"Myh9","Microglia","Group enriched"
"Tmem104","Microglia","Tissue enriched"
"Emp3","Microglia","Tissue enriched"
"H2-T23","Microglia","Group enriched"
"H2-T23","Endothelial Cells","Group enriched"
"Gp9","Microglia","Tissue enriched"
"Cd86","Microglia","Tissue enriched"
"Nab2","Microglia","Tissue enriched"
"Arap3","Microglia","Group enriched"
"Arap3","Endothelial Cells","Group enriched"
"Ncf2","Microglia","Tissue enriched"
"Lcp2","Microglia","Group enriched"
"Lcp2","Endothelial Cells","Group enriched"
"Uap1l1","Microglia","Tissue enriched"
"Nfkb1","Microglia","Group enriched"
"Nfkb1","Endothelial Cells","Group enriched"
"Sykb","Microglia","Tissue enriched"
"Map3k11","Microglia","Group enriched"
"Map3k11","Endothelial Cells","Group enriched"
"Map3k11","Myelinating Oligodendrocytes","Group enriched"
"Map3k11","Newly Formed Oligodendrocyte","Group enriched"
"Plekhb2","Neuron","Group enriched"
"Plekhb2","Microglia","Group enriched"
"Plekhb2","Myelinating Oligodendrocytes","Group enriched"
"Plekhb2","Oligodendrocyte Precursor Cell","Group enriched"
"Plekhb2","Newly Formed Oligodendrocyte","Group enriched"
"Plekhb2","Astrocytes","Group enriched"
"Ctsc","Microglia","Group enriched"
"Ctsc","Astrocytes","Group enriched"
"Ctsc","Endothelial Cells","Group enriched"
"Cxcl10","Microglia","Group enriched"
"Cxcl10","Astrocytes","Group enriched"
"Sh3bp1","Microglia","Tissue enriched"
"Gpsm3","Microglia","Tissue enriched"
"Il21r","Microglia","Tissue enriched"
"S100a9","Microglia","Tissue enriched"
"Got1","Microglia","Group enriched"
"Got1","Neuron","Group enriched"
"Got1","Oligodendrocyte Precursor Cell","Group enriched"
"Got1","Astrocytes","Group enriched"
"Got1","Newly Formed Oligodendrocyte","Group enriched"
"Got1","Myelinating Oligodendrocytes","Group enriched"
"Mid1ip1","Myelinating Oligodendrocytes","Group enriched"
"Mid1ip1","Astrocytes","Group enriched"
"Mid1ip1","Oligodendrocyte Precursor Cell","Group enriched"
"Mid1ip1","Newly Formed Oligodendrocyte","Group enriched"
"Mid1ip1","Microglia","Group enriched"
"Mid1ip1","Neuron","Group enriched"
"Ywhag","Neuron","Tissue enriched"
"Tmem204","Endothelial Cells","Group enriched"
"Tmem204","Microglia","Group enriched"
"Gltp","Newly Formed Oligodendrocyte","Group enriched"
"Gltp","Myelinating Oligodendrocytes","Group enriched"
"Gltp","Oligodendrocyte Precursor Cell","Group enriched"
"Psmb8","Microglia","Tissue enriched"
"Ch25h","Microglia","Tissue enriched"
"Myo1f","Microglia","Tissue enriched"
"Clec10a","Microglia","Tissue enriched"
"Lpcat1","Oligodendrocyte Precursor Cell","Group enriched"
"Lpcat1","Microglia","Group enriched"
"Lpcat1","Astrocytes","Group enriched"
"Lpcat1","Newly Formed Oligodendrocyte","Group enriched"
"Lpcat1","Neuron","Group enriched"
"Lpcat1","Endothelial Cells","Group enriched"
"Slc7a5","Endothelial Cells","Tissue enriched"
"Slc37a2","Microglia","Tissue enriched"
"Jak3","Microglia","Group enriched"
"Jak3","Endothelial Cells","Group enriched"
"Ralb","Endothelial Cells","Group enriched"
"Ralb","Microglia","Group enriched"
"Ralb","Oligodendrocyte Precursor Cell","Group enriched"
"Ralb","Astrocytes","Group enriched"
"Rasa4","Microglia","Tissue enriched"
"Relb","Microglia","Group enriched"
"Relb","Endothelial Cells","Group enriched"
"Adora3","Microglia","Tissue enriched"
"Slc12a9","Microglia","Group enriched"
"Slc12a9","Newly Formed Oligodendrocyte","Group enriched"
"Slc12a9","Oligodendrocyte Precursor Cell","Group enriched"
"Slc12a9","Astrocytes","Group enriched"
"Slc12a9","Myelinating Oligodendrocytes","Group enriched"
"Slc12a9","Neuron","Group enriched"
"Gmip","Microglia","Tissue enriched"
"Edn1","Endothelial Cells","Group enriched"
"Edn1","Microglia","Group enriched"
"Pip4k2a","Myelinating Oligodendrocytes","Group enriched"
"Pip4k2a","Microglia","Group enriched"
"Pip4k2a","Newly Formed Oligodendrocyte","Group enriched"
"Pip4k2a","Oligodendrocyte Precursor Cell","Group enriched"
"Pip4k2a","Astrocytes","Group enriched"
"Ubtd1","Endothelial Cells","Group enriched"
"Ubtd1","Microglia","Group enriched"
"Slc2a1","Endothelial Cells","Tissue enriched"
"Tspan33","Microglia","Tissue enriched"
"Lair1","Microglia","Tissue enriched"
"Cd300lf","Microglia","Tissue enriched"
"Ttc7","Microglia","Tissue enriched"
"Myd88","Microglia","Tissue enriched"
"Clu","Astrocytes","Group enriched"
"Clu","Oligodendrocyte Precursor Cell","Group enriched"
"Snx20","Microglia","Tissue enriched"
"Otud1","Microglia","Group enriched"
"Otud1","Astrocytes","Group enriched"
"Aldh2","Endothelial Cells","Group enriched"
"Aldh2","Microglia","Group enriched"
"Aldh2","Oligodendrocyte Precursor Cell","Group enriched"
"Aldh2","Astrocytes","Group enriched"
"Aldh2","Neuron","Group enriched"
"Aldh2","Newly Formed Oligodendrocyte","Group enriched"
"Tmem206","Microglia","Tissue enriched"
"Npc1","Oligodendrocyte Precursor Cell","Group enriched"
"Npc1","Newly Formed Oligodendrocyte","Group enriched"
"Npc1","Myelinating Oligodendrocytes","Group enriched"
"Npc1","Microglia","Group enriched"
"Npc1","Astrocytes","Group enriched"
"Man2a2","Microglia","Group enriched"
"Man2a2","Newly Formed Oligodendrocyte","Group enriched"
"Man2a2","Astrocytes","Group enriched"
"Man2a2","Oligodendrocyte Precursor Cell","Group enriched"
"Man2a2","Neuron","Group enriched"
"Man2a2","Myelinating Oligodendrocytes","Group enriched"
"Serpine1","Microglia","Group enriched"
"Serpine1","Endothelial Cells","Group enriched"
"Sh3bp2","Microglia","Tissue enriched"
"Rhbdf2","Microglia","Group enriched"
"Rhbdf2","Endothelial Cells","Group enriched"
"Trpv2","Microglia","Tissue enriched"
"Mvd","Myelinating Oligodendrocytes","Group enriched"
"Mvd","Newly Formed Oligodendrocyte","Group enriched"
"Mvd","Astrocytes","Group enriched"
"Mvd","Microglia","Group enriched"
"Mvd","Oligodendrocyte Precursor Cell","Group enriched"
"Mvd","Neuron","Group enriched"
"Gimap6","Endothelial Cells","Tissue enriched"
"Dyrk2","Microglia","Group enriched"
"Dyrk2","Astrocytes","Group enriched"
"Dyrk2","Neuron","Group enriched"
"Dyrk2","Endothelial Cells","Group enriched"
"Dyrk2","Oligodendrocyte Precursor Cell","Group enriched"
"Ccr7","Microglia","Tissue enriched"
"Ticam1","Microglia","Tissue enriched"
"Ccr6","Microglia","Tissue enriched"
"Ptp4a3","Endothelial Cells","Group enriched"
"Ptp4a3","Microglia","Group enriched"
"Pik3cd","Microglia","Tissue enriched"
"Tagap1","Microglia","Tissue enriched"
"Pnpla7","Microglia","Tissue enriched"
"Srgap2","Microglia","Group enriched"
"Srgap2","Endothelial Cells","Group enriched"
"Srgap2","Astrocytes","Group enriched"
"Srgap2","Neuron","Group enriched"
"Srgap2","Oligodendrocyte Precursor Cell","Group enriched"
"Camk2a","Myelinating Oligodendrocytes","Group enriched"
"Camk2a","Oligodendrocyte Precursor Cell","Group enriched"
"Camk2a","Microglia","Group enriched"
"Camk2a","Neuron","Group enriched"
"Bcl2a1c","Microglia","Tissue enriched"
"Dcxr","Microglia","Tissue enriched"
"Il10rb","Microglia","Group enriched"
"Il10rb","Endothelial Cells","Group enriched"
"Dok1","Microglia","Tissue enriched"
"Skap2","Microglia","Tissue enriched"
"St3gal5","Neuron","Group enriched"
"St3gal5","Microglia","Group enriched"
"St3gal5","Endothelial Cells","Group enriched"
"St3gal5","Oligodendrocyte Precursor Cell","Group enriched"
"Arhgap27","Microglia","Group enriched"
"Arhgap27","Endothelial Cells","Group enriched"
"Vamp3","Endothelial Cells","Group enriched"
"Vamp3","Myelinating Oligodendrocytes","Group enriched"
"Vamp3","Newly Formed Oligodendrocyte","Group enriched"
"Vamp3","Oligodendrocyte Precursor Cell","Group enriched"
"Vamp3","Microglia","Group enriched"
"Vamp3","Astrocytes","Group enriched"
"Fkbp5","Microglia","Tissue enriched"
"Sertad1","Endothelial Cells","Group enriched"
"Sertad1","Microglia","Group enriched"
"Batf","Microglia","Tissue enriched"
"Tmcc3","Newly Formed Oligodendrocyte","Group enriched"
"Tmcc3","Microglia","Group enriched"
"Tmcc3","Myelinating Oligodendrocytes","Group enriched"
"Tmcc3","Endothelial Cells","Group enriched"
"Tmcc3","Oligodendrocyte Precursor Cell","Group enriched"
"Tmcc3","Astrocytes","Group enriched"
"Il6ra","Microglia","Tissue enriched"
"Rrad","Microglia","Tissue enriched"
"Cxcl1","Endothelial Cells","Group enriched"
"Cxcl1","Microglia","Group enriched"
"Fhl3","Microglia","Group enriched"
"Fhl3","Newly Formed Oligodendrocyte","Group enriched"
"Fhl3","Endothelial Cells","Group enriched"
"Fhl3","Myelinating Oligodendrocytes","Group enriched"
"Orai2","Microglia","Group enriched"
"Orai2","Neuron","Group enriched"
"Kcnk6","Microglia","Tissue enriched"
"Vegfb","Microglia","Group enriched"
"Vegfb","Oligodendrocyte Precursor Cell","Group enriched"
"Vegfb","Astrocytes","Group enriched"
"Vegfb","Neuron","Group enriched"
"Vegfb","Newly Formed Oligodendrocyte","Group enriched"
"Vegfb","Myelinating Oligodendrocytes","Group enriched"
"Anxa3","Endothelial Cells","Group enriched"
"Anxa3","Microglia","Group enriched"
"Cybasc3","Microglia","Tissue enriched"
"Ctdsp1","Microglia","Group enriched"
"Ctdsp1","Endothelial Cells","Group enriched"
"Ctdsp1","Myelinating Oligodendrocytes","Group enriched"
"Ctdsp1","Oligodendrocyte Precursor Cell","Group enriched"
"Ctdsp1","Newly Formed Oligodendrocyte","Group enriched"
"Ctdsp1","Astrocytes","Group enriched"
"Il17ra","Microglia","Tissue enriched"
"Cnp","Myelinating Oligodendrocytes","Group enriched"
"Cnp","Newly Formed Oligodendrocyte","Group enriched"
"Pycard","Microglia","Tissue enriched"
"Ebi3","Microglia","Tissue enriched"
"Scd2","Myelinating Oligodendrocytes","Group enriched"
"Scd2","Newly Formed Oligodendrocyte","Group enriched"
"Scd2","Astrocytes","Group enriched"
"Scd2","Oligodendrocyte Precursor Cell","Group enriched"
"Neurl3","Microglia","Tissue enriched"
"Rhoh","Microglia","Tissue enriched"
"Fam105b","Microglia","Tissue enriched"
"Dlg4","Neuron","Group enriched"
"Dlg4","Oligodendrocyte Precursor Cell","Group enriched"
"Dlg4","Microglia","Group enriched"
"Dlg4","Myelinating Oligodendrocytes","Group enriched"
"Dlg4","Astrocytes","Group enriched"
"Dlg4","Newly Formed Oligodendrocyte","Group enriched"
"G3bp1","Microglia","Group enriched"
"G3bp1","Endothelial Cells","Group enriched"
"G3bp1","Oligodendrocyte Precursor Cell","Group enriched"
"G3bp1","Neuron","Group enriched"
"G3bp1","Newly Formed Oligodendrocyte","Group enriched"
"G3bp1","Astrocytes","Group enriched"
"Ergic1","Oligodendrocyte Precursor Cell","Group enriched"
"Ergic1","Microglia","Group enriched"
"Ergic1","Neuron","Group enriched"
"Ergic1","Astrocytes","Group enriched"
"Ergic1","Newly Formed Oligodendrocyte","Group enriched"
"Ergic1","Endothelial Cells","Group enriched"
"Phgdh","Myelinating Oligodendrocytes","Group enriched"
"Phgdh","Microglia","Group enriched"
"Phgdh","Astrocytes","Group enriched"
"Phgdh","Newly Formed Oligodendrocyte","Group enriched"
"Phgdh","Oligodendrocyte Precursor Cell","Group enriched"
"Rtn4rl1","Microglia","Tissue enriched"
"Gpr157","Microglia","Tissue enriched"
"Prcp","Endothelial Cells","Group enriched"
"Prcp","Microglia","Group enriched"
"Pik3r5","Microglia","Tissue enriched"
"6230427J02Rik","Microglia","Group enriched"
"6230427J02Rik","Endothelial Cells","Group enriched"
"Trim47","Microglia","Group enriched"
"Trim47","Astrocytes","Group enriched"
"Trim47","Endothelial Cells","Group enriched"
"Cln5","Microglia","Group enriched"
"Cln5","Newly Formed Oligodendrocyte","Group enriched"
"Cln5","Endothelial Cells","Group enriched"
"Cln5","Astrocytes","Group enriched"
"Cln5","Oligodendrocyte Precursor Cell","Group enriched"
"Cln5","Myelinating Oligodendrocytes","Group enriched"
"Was","Microglia","Tissue enriched"
"Hmgn1","Endothelial Cells","Group enriched"
"Hmgn1","Oligodendrocyte Precursor Cell","Group enriched"
"Hmgn1","Neuron","Group enriched"
"Hmgn1","Astrocytes","Group enriched"
"Hmgn1","Microglia","Group enriched"
"Hmgn1","Newly Formed Oligodendrocyte","Group enriched"
"Ehd4","Microglia","Group enriched"
"Ehd4","Endothelial Cells","Group enriched"
"Nagpa","Microglia","Tissue enriched"
"Wdr81","Microglia","Tissue enriched"
"Lap3","Newly Formed Oligodendrocyte","Group enriched"
"Lap3","Myelinating Oligodendrocytes","Group enriched"
"Lap3","Astrocytes","Group enriched"
"Lap3","Microglia","Group enriched"
"Lap3","Oligodendrocyte Precursor Cell","Group enriched"
"Lap3","Endothelial Cells","Group enriched"
"App","Newly Formed Oligodendrocyte","Group enriched"
"App","Myelinating Oligodendrocytes","Group enriched"
"App","Endothelial Cells","Group enriched"
"App","Neuron","Group enriched"
"App","Oligodendrocyte Precursor Cell","Group enriched"
"Tgif2","Microglia","Group enriched"
"Tgif2","Endothelial Cells","Group enriched"
"Tgif2","Astrocytes","Group enriched"
"Fam167b","Microglia","Tissue enriched"
"Npepl1","Endothelial Cells","Group enriched"
"Npepl1","Microglia","Group enriched"
"Npepl1","Astrocytes","Group enriched"
"Npepl1","Newly Formed Oligodendrocyte","Group enriched"
"Npepl1","Oligodendrocyte Precursor Cell","Group enriched"
"Npepl1","Myelinating Oligodendrocytes","Group enriched"
"Sh2b2","Microglia","Tissue enriched"
"Dok3","Microglia","Tissue enriched"
"Arl5c","Microglia","Tissue enriched"
"Pros1","Endothelial Cells","Group enriched"
"Pros1","Microglia","Group enriched"
"Pros1","Oligodendrocyte Precursor Cell","Group enriched"
"Smagp","Microglia","Group enriched"
"Smagp","Endothelial Cells","Group enriched"
"Itga5","Microglia","Group enriched"
"Itga5","Endothelial Cells","Group enriched"
"Itga5","Astrocytes","Group enriched"
"Rbm38","Microglia","Tissue enriched"
"S100a8","Microglia","Tissue enriched"
"Lat2","Microglia","Tissue enriched"
"Ptpn18","Microglia","Tissue enriched"
"Siglece","Microglia","Tissue enriched"
"Mobkl2c","Microglia","Tissue enriched"
"Tm6sf1","Microglia","Group enriched"
"Tm6sf1","Endothelial Cells","Group enriched"
"Cd151","Endothelial Cells","Tissue enriched"
"Pdgfa","Newly Formed Oligodendrocyte","Group enriched"
"Pdgfa","Microglia","Group enriched"
"Pdgfa","Neuron","Group enriched"
"Pdgfa","Myelinating Oligodendrocytes","Group enriched"
"Pdgfa","Oligodendrocyte Precursor Cell","Group enriched"
"Qk","Newly Formed Oligodendrocyte","Group enriched"
"Qk","Astrocytes","Group enriched"
"Qk","Oligodendrocyte Precursor Cell","Group enriched"
"Qk","Myelinating Oligodendrocytes","Group enriched"
"Qk","Endothelial Cells","Group enriched"
"Abcd1","Microglia","Tissue enriched"
"Apex1","Microglia","Group enriched"
"Apex1","Oligodendrocyte Precursor Cell","Group enriched"
"Apex1","Neuron","Group enriched"
"Apex1","Astrocytes","Group enriched"
"Apex1","Endothelial Cells","Group enriched"
"Apex1","Newly Formed Oligodendrocyte","Group enriched"
"Midn","Oligodendrocyte Precursor Cell","Group enriched"
"Midn","Neuron","Group enriched"
"Midn","Microglia","Group enriched"
"Midn","Astrocytes","Group enriched"
"Midn","Endothelial Cells","Group enriched"
"Midn","Newly Formed Oligodendrocyte","Group enriched"
"Mlxipl","Microglia","Tissue enriched"
